Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Bengie Molina\molinbe01,27,122,459,428,34,105,18,0,5,47,0,0,15,34,.245,.274,.322,.596,58,138,15,4,6,6,3
2,1B,Scott Spiezio#\spiezsc01,29,153,571,491,80,140,34,2,12,82,6,7,67,52,.285,.371,.436,.807,115,214,12,4,3,6,7
3,2B,Adam Kennedy*\kennead01,26,144,509,474,65,148,32,6,7,52,17,4,19,80,.312,.345,.449,.795,110,213,5,7,5,4,1
4,SS,David Eckstein\eckstda01,27,152,702,608,107,178,22,6,8,63,21,13,45,44,.293,.363,.388,.752,101,236,7,27,14,8,0
5,3B,Troy Glaus\glaustr01,25,156,671,569,99,142,24,1,30,111,10,3,88,144,.250,.352,.453,.805,113,258,12,6,0,8,4
6,LF,Garret Anderson*\anderga01,30,158,678,638,93,195,56,3,29,123,6,4,30,80,.306,.332,.539,.871,127,344,11,0,0,10,11
7,CF,Darin Erstad*\erstada01,28,150,663,625,99,177,28,4,10,73,23,3,27,67,.283,.313,.389,.702,86,243,9,2,5,4,4
8,RF,Tim Salmon\salmoti01,33,138,568,483,84,138,37,1,22,88,6,3,71,102,.286,.380,.503,.883,133,243,6,7,0,7,3
9,DH,Brad Fullmer*\fullmbr01,27,130,479,429,75,124,35,6,19,59,10,3,32,44,.289,.357,.531,.888,133,228,7,15,0,3,6
10,OF,Orlando Palmeiro*\palmeor01,33,110,300,263,35,79,12,1,0,31,7,2,30,22,.300,.368,.354,.722,94,93,7,0,4,3,1
11,2B,Benji Gil\gilbe01,29,61,139,130,11,37,8,1,3,20,2,1,5,33,.285,.307,.431,.737,94,56,0,0,2,2,0
12,DH,Shawn Wooten\wootesh01,29,49,121,113,13,33,8,0,3,19,2,0,6,24,.292,.331,.442,.773,104,50,3,1,0,1,1
13,MI,Jose Nieves\nievejo01,27,45,100,97,17,28,2,0,0,6,1,1,2,14,.289,.303,.309,.612,64,30,3,0,1,0,0
