Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Ivan Rodriguez\rodriiv01,31,144,578,511,90,152,36,3,16,85,10,6,55,92,.297,.369,.474,.843,120,242,18,6,1,5,6
2,1B,Derrek Lee\leede02,27,155,643,539,91,146,31,2,31,92,21,8,88,131,.271,.379,.508,.888,131,274,9,10,0,6,7
3,2B,Luis Castillo#\castilu01,27,152,676,595,99,187,19,6,6,39,21,19,63,60,.314,.381,.397,.778,106,236,7,2,15,1,0
4,SS,Alex Gonzalez\gonzaal02,26,150,582,528,52,135,33,6,18,77,0,4,33,106,.256,.313,.443,.756,96,234,8,13,3,5,13
5,3B,Mike Lowell\lowelmi01,29,130,557,492,76,136,27,1,32,105,3,1,56,78,.276,.350,.530,.881,128,261,14,3,0,6,6
6,LF,Todd Hollandsworth*\hollato01,30,93,254,228,32,58,23,3,3,20,2,3,22,55,.254,.317,.421,.739,93,96,2,0,2,2,4
7,CF,Juan Pierre*\pierrju01,25,162,747,668,100,204,28,7,1,41,65,20,55,35,.305,.361,.373,.734,94,249,9,5,15,3,1
8,RF,Juan Encarnacion\encarju01,27,156,653,601,80,162,37,6,19,94,19,8,37,82,.270,.313,.446,.759,97,268,17,4,5,6,0
9,UT,Miguel Cabrera\cabremi01,20,87,346,314,39,84,21,3,12,62,0,2,25,84,.268,.325,.468,.793,106,147,12,2,4,1,3
10,LF,Brian Banks#\banksbr01,32,92,180,149,14,35,6,2,4,23,2,1,25,38,.235,.348,.383,.731,93,57,4,2,2,2,1
11,C,Mike Redmond\redmomi01,32,59,141,125,12,30,7,1,0,11,0,0,7,16,.240,.302,.312,.614,63,39,2,5,2,2,0
12,UT,Andy Fox*\foxan01,32,70,120,108,12,21,5,1,0,8,1,2,7,29,.194,.269,.259,.528,40,28,2,4,1,0,0
13,IF,Mike Mordecai\mordemi01,35,65,101,89,11,19,4,0,2,8,3,0,8,21,.213,.276,.326,.601,58,29,0,0,3,1,3
14,LF,Jeff Conine\coninje01,37,25,99,84,13,20,3,0,5,15,0,0,13,10,.238,.337,.452,.789,106,38,2,0,1,1,0
15,UT,Ramon Castro\castrra01,27,40,57,53,6,15,2,0,5,8,0,0,4,11,.283,.333,.604,.937,140,32,0,0,0,0,0
16,OF,Gerald Williams\willige02,36,27,35,31,5,4,1,0,0,3,3,0,2,5,.129,.182,.161,.343,-8,5,0,0,2,0,0
17,UT,Chad Allen\allench01,28,12,25,24,2,5,1,1,0,0,0,0,0,5,.208,.240,.333,.573,49,8,1,1,0,0,0
18,OF,Lenny Harris*\harrile01,38,13,17,14,3,4,0,0,0,1,0,0,3,1,.286,.412,.286,.697,89,4,1,0,0,0,0
19,P,Brad Penny\pennybr01,25,31,73,68,3,9,1,1,2,8,0,0,0,27,.132,.132,.265,.397,1,18,2,0,5,0,0
20,P,Carl Pavano\pavanca01,27,32,68,61,4,6,2,1,0,1,0,0,2,27,.098,.127,.164,.291,-24,10,0,0,5,0,0
21,P,Mark Redman*\redmama01,29,28,66,61,0,1,0,0,0,1,0,0,1,31,.016,.032,.016,.049,-87,1,1,0,4,0,0
22,P,Dontrelle Willis*\willido03,21,27,63,58,2,14,2,0,1,4,0,0,3,8,.241,.279,.328,.606,59,19,0,0,2,0,0
23,P,Josh Beckett\beckejo02,23,24,52,46,3,7,2,0,0,3,0,0,1,14,.152,.170,.196,.366,-4,9,1,0,5,0,0
24,P,Michael Tejera*\tejermi01,26,48,16,15,0,1,0,0,0,0,0,0,0,1,.067,.067,.067,.133,-65,1,1,0,1,0,0
25,P,Tommy Phelps*\phelpto01,29,25,14,11,1,1,0,0,0,0,0,0,2,3,.091,.231,.091,.322,-10,1,1,0,1,0,0
26,P,A.J. Burnett\burnea.01,26,4,9,7,0,1,0,0,0,0,0,0,2,3,.143,.333,.143,.476,32,1,0,0,0,0,0
27,P,Tim Spooneybarger\spoonti01,23,33,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0
28,P,Rick Helling\helliri01,32,11,2,2,0,1,1,0,0,0,0,0,0,0,.500,.500,1.000,1.500,282,2,0,0,0,0,0
29,P,Braden Looper\loopebr01,28,72,2,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,430,1,0,0,1,0,0
30,P,Allen Levrault\levraal01,25,17,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Justin Wayne\wayneju01,24,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Ugueth Urbina\urbinug01,29,33,2,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,1,0,0
33,P,Nate Bump*\bumpna01,26,31,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0
34,P,Blaine Neal*\nealbl01,25,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Juan Alvarez*\alvarju01,29,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Toby Borland\borlato02,34,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Chad Fox\foxch02,32,21,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Vladimir Nunez\nunezvl01,28,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Armando Almanza*\almanar01,30,48,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Kevin Olsen\olsenke01,26,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
