Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Carlos Ruiz\ruizca01,29,117,373,320,47,70,14,0,4,31,1,2,44,38,.219,.320,.300,.620,63,96,14,4,4,1,6
2,1B,Ryan Howard*\howarry01,28,162,700,610,105,153,26,4,48,146,1,1,81,199,.251,.339,.543,.881,125,331,11,3,0,6,17
3,2B,Chase Utley*\utleych01,29,159,707,607,113,177,41,4,33,104,14,2,64,104,.292,.380,.535,.915,136,325,9,27,1,8,14
4,SS,Jimmy Rollins#\rolliji01,29,137,625,556,76,154,38,9,11,59,47,3,58,55,.277,.349,.437,.786,104,243,11,5,3,3,7
5,3B,Pedro Feliz\felizpe01,33,133,463,425,43,106,19,2,14,58,0,0,33,54,.249,.302,.402,.705,82,171,14,0,3,2,3
6,LF,Pat Burrell\burrepa01,31,157,645,536,74,134,33,3,33,86,0,0,102,136,.250,.367,.507,.875,125,272,10,1,0,6,8
7,CF,Shane Victorino#\victosh01,27,146,627,570,102,167,30,8,14,58,36,11,45,69,.293,.352,.447,.799,107,255,8,7,5,0,2
8,RF,Jayson Werth\werthja01,29,134,482,418,73,114,16,3,24,67,20,1,57,119,.273,.363,.498,.861,122,208,2,4,0,3,1
9,RF,Geoff Jenkins*\jenkige01,33,115,322,293,27,72,16,0,9,29,1,1,24,68,.246,.301,.392,.694,79,115,6,1,0,4,5
10,C,Chris Coste\costech01,35,98,305,274,28,72,17,0,9,36,0,1,16,51,.263,.325,.423,.748,93,116,7,10,3,2,1
11,3B,Greg Dobbs*\dobbsgr01,29,128,240,226,30,68,14,1,9,40,3,1,11,40,.301,.333,.491,.824,112,111,4,1,0,2,1
12,SS,Eric Bruntlett\brunter01,30,120,238,212,37,46,9,1,2,15,9,2,21,35,.217,.297,.297,.594,56,63,7,3,2,0,3
13,OF,So Taguchi\tagucso01,38,88,103,91,18,20,5,1,0,9,3,0,8,14,.220,.283,.297,.580,52,27,2,0,4,0,0
14,RF,Matt Stairs*\stairma01,40,16,19,17,4,5,1,0,2,5,0,0,1,3,.294,.316,.706,1.022,156,12,0,0,0,1,0
15,3B,Mike Cervenak\cervemi01,31,10,13,13,0,2,0,0,0,1,0,0,0,5,.154,.154,.154,.308,-19,2,1,0,0,0,0
16,IF,Brad Harman\harmabr01,22,6,11,10,1,1,1,0,0,1,0,0,1,1,.100,.182,.200,.382,0,2,1,0,0,0,0
17,2B,Tadahito Iguchi\iguchta01,33,4,7,7,0,2,1,0,0,0,0,0,0,0,.286,.286,.429,.714,83,3,0,0,0,0,0
18,CF,Greg Golson\golsogr01,22,6,6,6,2,0,0,0,0,0,1,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0
19,LF,T.J. Bohn\bohntj01,28,14,5,5,1,2,1,0,0,3,0,0,0,1,.400,.400,.600,1.000,156,3,0,0,0,0,0
20,C,Lou Marson\marsolo01,22,1,4,4,2,2,0,0,1,2,0,0,0,2,.500,.500,1.250,1.750,337,5,0,0,0,0,0
21,,Andy Tracy*\tracyan01,34,4,4,2,0,0,0,0,0,1,0,0,1,1,.000,.250,.000,.250,-27,0,0,0,0,1,0
22,,Chris Snelling*\snellch02,26,4,4,4,1,2,1,0,1,1,0,0,0,0,.500,.500,1.500,2.000,395,6,0,0,0,0,0
23,P,Cole Hamels*\hamelco01,24,35,85,76,3,17,2,0,0,3,0,0,0,29,.224,.234,.250,.484,27,19,0,1,8,0,0
24,P,Brett Myers\myersbr01,27,30,71,58,3,4,1,0,0,1,0,0,4,19,.069,.129,.086,.215,-42,5,1,0,9,0,0
25,P,Jamie Moyer*\moyerja01,45,31,70,51,4,4,1,0,0,1,0,0,7,19,.078,.190,.098,.288,-22,5,0,0,12,0,0
26,P,Kyle Kendrick\kendrky01,23,31,59,50,3,5,1,0,0,2,0,0,3,24,.100,.151,.120,.271,-28,6,0,0,6,0,0
27,P,Adam Eaton\eatonad01,30,22,36,28,1,5,2,0,0,1,0,0,5,6,.179,.303,.250,.553,47,7,0,0,3,0,0
28,P,Joe Blanton\blantjo01,27,13,23,16,0,1,0,0,0,1,0,0,0,10,.063,.059,.063,.121,-68,1,0,0,6,1,0
29,P,Chad Durbin\durbich01,30,69,9,9,0,1,0,0,0,0,0,0,0,3,.111,.111,.111,.222,-42,1,0,0,0,0,0
30,P,J.A. Happ*\happja01,25,8,9,7,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,2,0,0
31,P,Clay Condrey\condrcl01,32,55,3,3,1,1,1,0,0,0,0,0,0,2,.333,.333,.667,1.000,152,2,0,0,0,0,0
32,P,R.J. Swindle*\swindrj01,24,3,2,2,0,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Ryan Madson*\madsory01,27,73,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
34,P,Les Walrond*\walrole01,31,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Drew Carpenter\carpean01,23,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Scott Eyre*\eyresc01,36,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Rudy Seanez\seaneru01,39,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Brad Lidge\lidgebr01,31,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,J.C. Romero#\romerj.01,32,77,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Tom Gordon\gordoto01,40,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
