Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Jorge Posada#\posadjo01,37,111,438,383,55,109,25,0,22,81,1,0,48,101,.285,.363,.522,.885,125,200,13,2,0,5,4
2,1B,Mark Teixeira#\teixema01,29,156,707,609,103,178,43,3,39,122,2,0,81,114,.292,.383,.565,.948,141,344,13,12,0,5,9
3,2B,Robinson Cano*\canoro01,26,161,674,637,103,204,48,2,25,85,5,7,30,63,.320,.352,.520,.871,121,331,22,3,0,4,2
4,SS,Derek Jeter\jeterde01,35,153,716,634,107,212,27,1,18,66,30,5,72,90,.334,.406,.465,.871,125,295,18,5,4,1,4
5,3B,Alex Rodriguez\rodrial01,33,124,535,444,78,127,17,1,30,100,14,2,80,97,.286,.402,.532,.933,138,236,13,8,0,3,7
6,LF,Johnny Damon*\damonjo01,35,143,626,550,107,155,36,3,24,82,12,0,71,98,.282,.365,.489,.854,118,269,9,2,2,1,1
7,CF,Melky Cabrera#\cabreme01,24,154,540,485,66,133,28,1,13,68,10,2,43,59,.274,.336,.416,.752,93,202,15,4,4,4,4
8,RF,Nick Swisher#\swishni01,28,150,607,498,84,124,35,1,29,82,0,0,97,126,.249,.371,.498,.869,122,248,13,3,3,6,2
9,DH,Hideki Matsui*\matsuhi01,35,142,528,456,62,125,21,1,28,90,0,1,64,75,.274,.367,.509,.876,123,232,4,4,0,2,1
10,CF,Brett Gardner*\gardnbr01,25,108,284,248,48,67,6,6,3,23,26,5,26,40,.270,.345,.379,.724,87,94,3,3,6,1,0
11,C,Jose Molina\molinjo01,34,52,155,138,15,30,4,0,1,11,0,0,14,28,.217,.292,.268,.560,46,37,6,1,1,1,0
12,IF,Ramiro Pena#\penara02,23,69,121,115,17,33,6,1,1,10,4,1,5,20,.287,.317,.383,.699,80,44,2,0,1,0,0
13,C,Francisco Cervelli\cervefr01,23,42,101,94,13,28,4,0,1,11,0,3,2,11,.298,.309,.372,.682,75,35,1,0,4,1,0
14,RF,Eric Hinske*\hinsker01,31,39,98,84,13,19,3,0,7,14,1,0,10,25,.226,.316,.512,.828,109,43,2,2,0,2,1
15,UT,Jerry Hairston\hairsje02,33,45,93,76,15,18,5,0,2,12,0,1,11,8,.237,.352,.382,.733,90,29,1,3,2,1,0
16,3B,Cody Ransom\ransoco01,33,31,86,79,11,15,9,1,0,10,2,0,7,25,.190,.256,.329,.585,50,26,3,0,0,0,0
17,UT,Xavier Nady\nadyxa01,30,7,29,28,4,8,4,0,0,2,0,0,1,6,.286,.310,.429,.739,88,12,2,0,0,0,0
18,C,Kevin Cash\cashke01,31,10,28,26,1,6,2,0,0,3,0,0,0,5,.231,.250,.308,.558,43,8,1,1,0,1,0
19,UT,Angel Berroa\berroan01,31,21,24,22,6,3,1,0,0,1,0,0,0,6,.136,.174,.182,.356,-8,4,1,1,1,0,0
20,UT,Shelley Duncan\duncash01,29,11,15,15,1,3,0,0,0,1,0,0,0,5,.200,.200,.200,.400,4,3,1,0,0,0,0
21,UT,Juan Miranda*\miranju01,26,8,9,9,2,3,0,0,1,3,0,0,0,4,.333,.333,.667,1.000,149,6,0,0,0,0,0
22,UT,Freddy Guzman#\guzmafr01,28,10,7,6,2,1,0,0,0,1,4,1,0,1,.167,.143,.167,.310,-20,1,0,0,0,1,0
23,P,Andy Pettitte*\pettian01,37,2,6,5,1,1,1,0,0,1,0,0,0,2,.200,.200,.400,.600,50,2,0,0,1,0,0
24,P,A.J. Burnett\burnea.01,32,2,5,5,0,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,4,1,0,0,0,0,0
25,P,Chien-Ming Wang\wangch01,29,2,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,1,0,0
26,P,CC Sabathia*\sabatc.01,28,2,4,4,1,1,0,0,0,1,0,0,0,1,.250,.250,.250,.500,30,1,0,0,0,0,0
27,P,Joba Chamberlain\chambjo03,23,1,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,1,0,0
28,P,Alfredo Aceves\aceveal01,26,3,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
29,P,Mariano Rivera\riverma01,39,6,2,1,0,0,0,0,0,1,0,0,1,0,.000,.500,.000,.500,46,0,0,0,0,0,0
30,P,Phil Coke*\cokeph01,26,8,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
31,P,Brett Tomko\tomkobr01,36,3,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Damaso Marte*\marteda01,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Sergio Mitre\mitrese01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Mark Melancon\melanma01,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Phil Hughes\hugheph01,23,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Mike Dunn*\dunnmi01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Brian Bruney\brunebr01,27,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Jonathan Albaladejo\albaljo01,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Josh Towers\towerjo01,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Edwar Ramirez\ramired01,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Ian Kennedy\kenneia01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
