Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Buster Posey\poseybu01,23,108,443,406,58,124,23,2,18,67,0,2,30,55,.305,.357,.505,.862,133,205,12,4,0,3,5
2,1B,Aubrey Huff*\huffau01,33,157,668,569,100,165,35,5,26,86,7,0,83,91,.290,.385,.506,.891,142,288,17,9,0,7,5
3,2B,Freddy Sanchez\sanchfr01,32,111,479,431,55,126,22,1,7,47,3,1,32,68,.292,.342,.397,.739,102,171,9,3,8,5,1
4,SS,Juan Uribe\uribeju01,31,148,575,521,64,129,24,2,24,85,1,2,45,92,.248,.310,.440,.749,102,229,20,4,0,5,6
5,3B,Pablo Sandoval#\sandopa01,23,152,616,563,61,151,34,3,13,63,3,2,47,81,.268,.323,.409,.732,99,230,26,1,0,5,12
6,LF,Pat Burrell\burrepa01,33,96,341,289,41,77,16,0,18,51,0,2,47,77,.266,.364,.509,.872,136,147,5,0,0,5,4
7,CF,Aaron Rowand\rowanaa01,32,105,357,331,42,76,12,2,11,34,5,3,16,74,.230,.281,.378,.659,78,125,11,8,1,1,3
8,RF,Nate Schierholtz*\schiena01,26,137,252,227,34,55,13,3,3,17,4,5,20,38,.242,.311,.366,.676,85,83,3,3,1,1,5
9,OF,Andres Torres#\torrean02,32,139,570,507,84,136,43,8,16,63,26,7,56,128,.268,.343,.479,.823,122,243,10,2,5,0,2
10,SS,Edgar Renteria\renteed01,33,72,267,243,26,67,11,2,3,22,3,0,21,43,.276,.332,.374,.707,93,91,8,0,2,1,3
11,C,Bengie Molina\molinbe01,35,61,221,202,17,52,6,0,3,17,0,0,14,19,.257,.312,.332,.644,77,67,7,3,0,2,4
12,1B,Travis Ishikawa*\ishiktr01,26,116,173,158,18,42,11,0,3,22,0,0,13,29,.266,.320,.392,.712,94,62,3,0,1,1,2
13,C,Eli Whiteside\whiteel03,30,56,141,126,19,30,6,1,4,10,1,2,8,35,.238,.299,.397,.696,89,50,4,3,3,0,0
14,RF,Jose Guillen\guilljo01,34,42,139,128,9,34,5,0,3,15,0,0,5,29,.266,.317,.375,.692,89,48,8,5,0,1,0
15,LF,Mark DeRosa\derosma01,35,26,104,93,9,18,3,0,1,10,0,2,9,16,.194,.279,.258,.537,48,24,6,2,0,0,0
16,OF,John Bowker*\bowkejo01,26,41,90,82,9,17,3,0,3,8,0,0,6,23,.207,.256,.354,.609,65,29,1,0,0,2,1
17,2B,Matt Downs\downsma01,26,29,88,78,6,19,7,0,1,7,0,0,8,18,.244,.318,.372,.690,88,29,1,1,0,1,0
18,OF,Cody Ross\rossco01,29,33,82,73,11,21,4,0,3,7,0,1,7,21,.288,.354,.466,.819,122,34,2,1,0,1,0
19,IF,Mike Fontenot*\fontemi01,30,28,76,71,10,20,2,0,0,5,0,2,5,13,.282,.329,.310,.639,76,22,0,0,0,0,0
20,UT,Eugenio Velez#\velezeu01,28,29,66,55,7,9,2,0,2,8,0,0,6,9,.164,.246,.309,.555,51,17,0,0,5,0,0
21,IF,Ryan Rohlinger\rohliry01,26,12,18,15,1,3,0,0,0,1,0,0,2,5,.200,.294,.200,.494,39,3,1,0,1,0,0
22,2B,Emmanuel Burriss#\burriem01,25,7,5,5,3,2,0,0,0,0,0,0,0,1,.400,.400,.400,.800,120,2,0,0,0,0,0
23,CF,Darren Ford\fordda03,24,7,0,0,1,0,0,0,0,0,2,1,0,0,,,,,,0,0,0,0,0,0
24,P,Tim Lincecum*\linceti01,26,33,83,67,2,7,0,0,0,5,0,0,3,29,.104,.143,.104,.247,-31,7,1,0,13,0,0
25,P,Matt Cain\cainma01,25,33,77,66,3,7,1,0,0,1,0,0,1,33,.106,.119,.121,.241,-34,8,0,0,10,0,0
26,P,Barry Zito*\zitoba01,32,32,66,51,1,6,0,0,0,2,0,0,1,17,.118,.135,.118,.252,-30,6,0,0,14,0,0
27,P,Jonathan Sanchez*\sanchjo01,27,32,66,58,2,8,0,1,0,3,0,0,0,26,.138,.153,.172,.325,-11,10,0,1,7,0,0
28,P,Madison Bumgarner\bumgama01,20,20,44,39,2,7,1,0,0,3,0,0,2,11,.179,.220,.205,.425,17,8,1,0,3,0,0
29,P,Todd Wellemeyer\welleto01,31,13,21,20,2,2,0,0,0,0,0,0,0,11,.100,.100,.100,.200,-45,2,1,0,1,0,0
30,P,Brian Wilson\wilsobr01,28,69,5,5,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,1,0,0,0,0
31,P,Joe Martinez*\martijo07,27,4,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
32,P,Sergio Romo\romose01,27,67,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0
33,P,Guillermo Mota\motagu01,36,55,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,1,0,0
34,P,Jeremy Affeldt*\affelje01,31,51,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
35,P,Dan Runzler*\runzlda01,25,40,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
36,P,Denny Bautista\bautide01,27,29,1,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,451,1,0,0,0,0,0
37,P,Ramon Ramirez\ramirra02,28,25,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Chris Ray\raych01,28,28,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Santiago Casilla\garcija01,29,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Waldis Joaquin\joaquwa01,23,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,Brandon Medders\meddebr01,30,14,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Javier Lopez*\lopezja02,32,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
