Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Brian McCann*\mccanbr01,33,97,399,349,47,84,12,1,18,62,1,0,38,58,.241,.323,.436,.759,109,152,9,7,0,5,3
2,1B,Yuli Gurriel\gourryu01,33,139,564,529,69,158,43,1,18,75,3,2,22,62,.299,.332,.486,.817,124,257,12,7,0,6,1
3,2B,Jose Altuve\altuvjo01,27,153,662,590,112,204,39,4,24,81,32,6,58,84,.346,.410,.547,.957,164,323,19,9,1,4,3
4,SS,Carlos Correa\correca01,22,109,481,422,82,133,25,1,24,84,2,1,53,92,.315,.391,.550,.941,158,232,12,2,0,4,5
5,3B,Alex Bregman\bregmal01,23,155,626,556,88,158,39,5,19,71,17,5,55,97,.284,.352,.475,.827,128,264,15,7,1,7,2
6,LF,Norichika Aoki*\aokino01,35,70,224,202,28,55,12,1,2,19,5,2,15,29,.272,.323,.371,.694,93,75,11,2,1,4,1
7,CF,George Springer\springe01,27,140,629,548,112,155,29,0,34,85,5,7,64,111,.283,.367,.522,.889,144,286,11,11,0,4,1
8,RF,Josh Reddick*\reddijo01,30,134,540,477,77,150,34,4,13,82,7,3,43,72,.314,.363,.484,.847,134,231,9,0,1,12,1
9,DH,Carlos Beltran#\beltrca01,40,129,509,467,60,108,29,0,14,51,0,0,33,102,.231,.283,.383,.666,84,179,9,3,0,6,3
10,UT,Marwin Gonzalez#\gonzama01,28,134,515,455,67,138,34,0,23,90,8,3,49,99,.303,.377,.530,.907,149,241,8,6,3,2,4
11,UT,Evan Gattis\gattiev01,30,84,325,300,41,79,22,0,12,55,0,1,18,50,.263,.311,.457,.767,110,137,10,4,0,3,0
12,CF,Jake Marisnick\marisja01,26,106,259,230,50,56,10,0,16,35,9,4,20,90,.243,.319,.496,.815,122,114,5,6,2,1,1
13,LF,Derek Fisher*\fishede01,23,53,166,146,21,31,4,1,5,17,3,3,17,54,.212,.307,.356,.663,85,52,1,3,0,0,1
14,3B,J.D. Davis\davisjd01,24,24,68,62,8,14,4,0,4,7,1,1,4,20,.226,.279,.484,.763,107,30,3,1,0,1,0
15,1B,Tyler White\whitety01,26,22,67,61,7,17,6,0,3,10,0,1,4,16,.279,.328,.525,.853,132,32,0,1,0,1,0
16,OF,Cameron Maybin\maybica01,30,21,63,59,6,11,1,1,4,13,4,3,3,16,.186,.226,.441,.666,79,26,1,0,1,0,0
17,C,Juan Centeno*\centeju01,27,22,57,52,5,12,0,0,2,4,0,0,4,12,.231,.286,.346,.632,75,18,2,0,1,0,1
18,UT,Tony Kemp*\kempto01,25,17,39,37,6,8,1,0,0,4,1,0,1,5,.216,.256,.243,.500,41,9,0,1,0,0,0
19,UT,Max Stassi\stassma01,26,14,31,24,5,4,1,0,2,4,0,0,6,4,.167,.323,.458,.781,114,11,2,0,0,1,0
20,IF,Colin Moran*\moranco01,24,7,12,11,3,4,0,1,1,3,0,0,1,1,.364,.417,.818,1.235,232,9,0,0,0,0,0
21,UT,A.J. Reed*\reedaj01,24,2,6,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0
